                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.466,                 4.2234,                  1.904,                0.00033,                0.00704,                0.00017,                  2e-05,                 3.4841,                 3.9311,                 2.0541,                 0.0001,                 0.0001,                 0.0001
                      2,                  3.366,                 4.4303,                 1.8245,                0.25929,                0.04225,                0.03321,                0.00784,                 3.2861,                 8.1724,                   1.72,             0.00020911,             0.00020911,             0.00020911
                      3,                 2.8621,                 3.0733,                  1.473,                0.07921,                0.22535,                0.03866,                0.01034,                 3.1937,                    nan,                 1.5813,             0.00030634,             0.00030634,             0.00030634
                      4,                 2.7534,                 2.4487,                 1.4405,                0.20227,                0.22535,                0.11277,                0.02689,                 3.1594,                 10.647,                 1.8791,             0.00039169,             0.00039169,             0.00039169
                      5,                 2.7983,                 2.4153,                 1.5145,                0.01907,                 0.1831,                0.00978,                0.00327,                    nan,                    nan,                    nan,             0.00046516,             0.00046516,             0.00046516
                      6,                 2.6789,                 2.1487,                 1.4152,                  0.001,                0.02113,                0.00051,                0.00015,                    nan,                    nan,                    nan,             0.00052675,             0.00052675,             0.00052675
                      7,                 2.8304,                 2.2282,                 1.4135,                0.00533,                0.11268,                0.00297,                0.00101,                    nan,                    nan,                    nan,             0.00057646,             0.00057646,             0.00057646
                      8,                 2.6625,                 2.0333,                 1.3834,                0.00533,                0.11268,                0.00297,                0.00101,                    nan,                    nan,                    nan,             0.00061429,             0.00061429,             0.00061429
                      9,                 2.6514,                  2.042,                 1.3967,                0.00533,                0.11268,                0.00297,                0.00101,                    nan,                    nan,                    nan,             0.00064024,             0.00064024,             0.00064024
                     10,                 2.7052,                 2.0677,                 1.3743,                0.00533,                0.11268,                0.00297,                0.00101,                    nan,                    nan,                    nan,             0.00065431,             0.00065431,             0.00065431
                     11,                  2.685,                  2.121,                 1.5181,                0.00067,                0.01408,                0.00038,                  8e-05,                    nan,                    nan,                    nan,              0.0006565,              0.0006565,              0.0006565
                     12,                 2.4986,                 1.9692,                 1.4697,                  0.006,                0.12676,                 0.0034,                0.00102,                    nan,                    nan,                    nan,             0.00064681,             0.00064681,             0.00064681
                     13,                 2.5309,                 2.0042,                 1.4649,                0.00941,                0.16901,                0.00529,                0.00211,                    nan,                    nan,                    nan,             0.00062524,             0.00062524,             0.00062524
                     14,                 2.5766,                 1.9319,                 1.4267,                0.00791,                0.16197,                 0.0045,                0.00154,                    nan,                    nan,                    nan,             0.00059179,             0.00059179,             0.00059179
                     15,                 2.4378,                 1.8855,                 1.4547,                   0.01,                0.21127,                0.00615,                0.00211,                    nan,                    nan,                    nan,             0.00054646,             0.00054646,             0.00054646
                     16,                 2.5642,                 1.9544,                 1.4496,                  0.011,                0.23239,                0.00685,                0.00208,                 3.1046,                    inf,                 2.0321,             0.00048925,             0.00048925,             0.00048925
                     17,                 2.4445,                  1.835,                 1.4097,                   0.02,                0.42254,                0.01458,                0.00477,                 2.9844,                    inf,                 1.7698,               0.000416,               0.000416,               0.000416
                     18,                 2.3836,                 1.9181,                 1.4555,                0.09056,                0.37324,                0.05826,                0.01663,                 2.8303,                 3.7016,                 1.5986,               0.000416,               0.000416,               0.000416
                     19,                 2.4754,                 1.8695,                  1.416,                0.31703,                0.30282,                0.19525,                0.04867,                 2.8233,                 2.1012,                 1.5673,               0.000317,               0.000317,               0.000317
                     20,                  2.395,                 1.8171,                 1.4611,                0.21357,                0.29069,                0.17549,                0.04178,                 2.8354,                 2.2211,                 1.5674,               0.000218,               0.000218,               0.000218
